"Adrian Wareham",,,,
"Alan Lloyd",,,,
"Andrew Bannon",,,,
"Andrew Dunne","Q75712700","2019 United Kingdom general election","Christchurch","Labour Party"
"Andrew Satherley",,,,
"Andy Canning","Q98585611","2017 United Kingdom general election","West Dorset","Liberal Democrats"
"Caralyn Longhurst",,,,
"Charles Mannan","Q98582302","2005 United Kingdom general election","Tewkesbury","Labour Party"
"Chris Rigby","Q75975206","2019 United Kingdom general election","Christchurch","Green Party of England and Wales"
"Clement Milward",,,,
"David Hughes","Q98600412","2010 United Kingdom general election","Bournemouth East","UK Independence Party"
"Dennis Bussey",,,,
"Dorothy Webb",,,,
"Hilary McKenzie",,,,
"James Barratt",,,,
"John Mitchell",,,,
"John P. Crockard",,,,
"John R. Walley",,,,
"Judith Begg",,,,
"Karl Fitzhugh",,,,
"Leslie Coman",,,,
"Margaret Strange",,,,
"Mark Belcher",,,,
"Mark Griffiths","Q98586339","1997 United Kingdom general election","West Dorset","Natural Law Party"
"Martyn Hurll",,,,
"Mike Cox",Q75838686,,,
"Nigel Lickley",,,,
"Patrick Canavan",,,,
"Peter A. Hollyman",,,,
"Peter G. Newman",,,,
"R.H. Dickinson",,,,
"Ray Spencer",,,,
"Robert Deeks",,,,
"Robin Grey",,,,
"Shona Dunn",,,,
"Stephen Alexander",,,,
"Tara Bardot-Jackson",,,,
"William Gordon Cameron",,,,
"William Tice",,,,
